t_ns,image_file,resolution,width,height,origin_x,origin_y
1771970261302923084,map_0001_1771970261302923084.png,0.038470134139060974,780,1313,-13.832952993896999,-24.176371647142357
1771970262676835950,map_0002_1771970262676835950.png,0.03847697004675865,780,1313,-13.832458061333238,-24.17962227178556
1771970264338306300,map_0003_1771970264338306300.png,0.03847672417759895,780,1313,-13.833144924260923,-24.180320615223042
1771970275057061199,map_0004_1771970275057061199.png,0.038360994309186935,779,1313,-13.785823426853852,-24.102653410302928
1771970276683722140,map_0005_1771970276683722140.png,0.0383748784661293,779,1313,-13.7887341379799,-24.110678495619844
1771970280573528770,map_0006_1771970280573528770.png,0.03833631053566933,780,1313,-13.777628439125516,-24.086936624341927
1771970284739317423,map_0007_1771970284739317423.png,0.03833167254924774,780,1313,-13.778381331745889,-24.086437160899752
1771970295431565459,map_0008_1771970295431565459.png,0.03837521746754646,780,1313,-13.79787121886462,-24.116409170304173
1771970298558018219,map_0009_1771970298558018219.png,0.03837629407644272,780,1313,-13.79425063779959,-24.11428922026937
1771970307023174967,map_0010_1771970307023174967.png,0.03829982504248619,780,1313,-13.762664530479183,-24.062982353197484
1771970316883874580,map_0011_1771970316883874580.png,0.03822146728634834,780,1313,-13.736943702855525,-24.01492063502053
1771970331425858800,map_0012_1771970331425858800.png,0.038221947848796844,780,1313,-13.735927213137032,-24.012343899087575
